ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
2808,timberpolicyissuesinbritishcolumbia--1976,Timber policy issues in British Columbia /,,,,,,1976,1976.,,Vancouver [B.C.] :,,"Published for the British Columbia Institute for Economic Policy Analysis [by] University of British Columbia Press,",,"xxxii, 277 p. :","0774800488, 0774800518, 9780774800488, 9780774800518","2536738, 301576361",,,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,CALGARY-1562 BROCK-1 MEMORIAL-1384 TORONTO-311 TORONTO-2020 LAC-24 UBC-232 CALGARY-739 UALBERTA-19 CONCORDIA-27 LAVAL-849 MANITOBA-625 MCGILL-1198 QUEENS-203 WILFRIDLAURIER-643 OTTAWA-455,15,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
2822,totempolesanillustratedguide-halp-1981,Totem poles :,an illustrated guide /,"Halpin, Marjorie M.,",,1937-,,1981,c1981.,,Vancouver :,,"University of British Columbia Press in association with the U.B.C. Museum of Anthropology,",,58 p. :,"0774801387, 0774801417, 9780774801386, 9780774801416",7763349,81182179,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES,YES,YES,CALGARY-490 ATHABASCA-52 BROCK-203 MEMORIAL-528 TORONTO-1855 LAC-77 UBC-235 UBC-258 CALGARY-1407 UALBERTA-69 CONCORDIA-71 MANITOBA-303 QUEENS-1069 OTTAWA-525 WILFRIDLAURIER-458 TORONTO-906,13,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
2886,tsimshianimagesofthepastviewsforthepresent--1983,The Tsimshian :,"images of the past, views for the present /",,,,,1983,c1983.,,Vancouver :,,"University of British Columbia Press,",,"xx, 343 p. :",0774801794,181799566,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,TORONTO-2225 CALGARY-192 BROCK-503 MEMORIAL-307 TORONTO-1365 LAC-135 UBC-241 CALGARY-749 UALBERTA-293 LAVAL-841 MANITOBA-613 MCGILL-1178 MONTREAL-364 QUEENS-873 WILFRIDLAURIER-102 OTTAWA-211 UBC-257,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
2963,vancouversfairanadministrativeandpoliticalhistoryofthepacificnationalexhibi-bree-1982,Vancouver's fair :,an administrative and political history of the Pacific National Exhibition /,"Breen, David H.",,,,1982,1982.,,Vancouver :,,"University of British Columbia Press,",,"192 p., [8] p. of plates :","0774801611, 9780774801614",9068166,,,,YES,,YES,,YES,YES,,,YES,YES,,YES,YES,YES,,CALGARY-1075 TORONTO-1799 LAC-90 UBC-264 CALGARY-843 UALBERTA-396 MANITOBA-545 MCGILL-1256 QUEENS-408 OTTAWA-551,9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
2972,verticalmanhorizontalworldmanandlandscapeincanadianprairiefiction-rico-1973,"Vertical man, horizontal world :",man and landscape in Canadian prairie fiction.,"Ricou, Laurie,",,1944-,,1973,[c1973],,[Vancouver] :,,"University of British Columbia Press,",,"xii, 151 p.","0774800224, 0774800232, 9780774800228, 9780774800235","883016, 977578176",73080447,YES,YES,YES,YES,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,,YES,CALGARY-764 ATHABASCA-8 BROCK-500 MEMORIAL-323 TORONTO-209 TORONTO-334 TORONTO-842 LAC-12 CALGARY-534 UALBERTA-5 CONCORDIA-14 MANITOBA-611 MCGILL-1260 QUEENS-467 REGINA-201 WILFRIDLAURIER-350 OTTAWA-1147,16,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3
3010,wayofthebachelorearlychinesesettlementinmanitoba-mars-2010,The way of the bachelor :,early Chinese settlement in Manitoba /,"Marshall, Alison,",,,,2010,c2011.,,Vancouver :,,"UBC Press,",,"xv, 226 p. :",9780774819152,670421215,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,CALGARY-1171 TORONTO-1555 BROCK-1064 MEMORIAL-515 TORONTO-2199 LAC-1019 UBC-1205 CALGARY-880 UALBERTA-920 CONCORDIA-614 LAVAL-845 MANITOBA-58 MCGILL-1184 MONTREAL-474 QUEENS-1046 REGINA-700 WILFRIDLAURIER-281 OTTAWA-509,17,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
3072,willtopowerthemissionarycareeroffathermorice-mulh-1986,Will to power :,the missionary career of Father Morice /,"Mulhall, David.",,,,1986,1986.,,Vancouver :,,"University of British Columbia Press,",,"xii, 221 p., [4] leaves of plates :","0774802545, 9780774802543","15130741, 300426900",,YES,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,CALGARY-1461 ATHABASCA-86 MEMORIAL-1412 TORONTO-52 LAC-174 UBC-271 UALBERTA-171 MANITOBA-333 MCGILL-1294 MONTREAL-95 QUEENS-1081 REGINA-731 OTTAWA-382 OTTAWA-385 OTTAWA-884,14,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
1360,indiansofbritishcolumbiaastudyofcontemporarysocialadjustment-hawt-1958,The Indians of British Columbia :,a study of contemporary social adjustment /,"Hawthorn, H.B.","(Harry Bertram),",1910-,,1958,©1958.,,"[Toronto, Ont] :",,"University of Toronto Press and the University of British Columbia,",,"ix, 499 p. :",,,,,,,,,,,,,,,,,,,YES,,UBC-1283 UBC-1285,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2489,russianshadowsonthebritishnorthwestcoastofnorthamerica18101890astudyofrejec-barr-2013,"Russian shadows on the British Northwest Coast of North America, 1810-1890 : a study of rejection of defence responsibilities :  /",,"Barratt, Glynn R.V., 1944-",,,,2013,c1983.,,Vancouver :,,"University of British Columbia Press,",,"xvii, 196 p., [12] p. of plates  :",,,,,,YES,,,,YES,,,,,,,,,,,MANITOBA-1082 CALGARY-567,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
1,100yearsofeuropeancinemaentertainmentorideology--2001,100 years of European cinema :,entertainment or ideology? /,,,,,2001,2000.,,Manchester ;;New York :;Vancouver :,,"Manchester University Press ;;Distributed exclusively in Canada by UBC Press,",,"x, 212 p. :","0719058716, 0719058724","46457372, 719058724",,,,YES,,,,,,,,,,,,,,,CALGARY-1444,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1630sinterdisciplinaryessaysoncultureandpoliticsinthecarolineera--2006,The 1630s :,interdisciplinary essays on culture and politics in the Caroline era /,,,,,2006,2006.,,Manchester :;Vancouver :,,"Manchester University Press ;;Distributed in Canada by UBC Press,",,"xii, 218 p. :","0719071585, 9780719071584",,2006298797,,,,,,,,,,,,,,,,YES,,UBC-1301,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
