ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
376,firstdaysfightingdayswomeninmanitobahistory--1987,"First days, fighting days :",women in Manitoba history /,,,,,1987,1987.,,Regina :,,"Canadian Plains Research Center, University of Regina,",,"xx, 177 p. :","0889770476, 9780889770478","18961167, 397377199",,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,CALGARY-62 ATHABASCA-24 BROCK-109 MEMORIAL-119 TORONTO-409 LAC-57 CALGARY-263 UALBERTA-48 UALBERTA-420 CONCORDIA-21 LAVAL-36 MANITOBA-16 MCGILL-70 MONTREAL-7 QUEENS-52 REGINA-7 OTTAWA-156,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
404,francophonesofsaskatchewanahistory-lapo-1988,The Francophones of Saskatchewan :,a history /,"Lapointe, Richard,",,1947-,,1988,[1988].,,[Regina] :,,"Campion College, University of Regina,",,"iv, 316, [14] p. :",0969265824,23731881,,,YES,YES,,,,,,,,YES,YES,,,,,YES,CALGARY-275 BROCK-6 QUEENS-154 WILFRIDLAURIER-40 OTTAWA-48,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3
428,geraldinemoodieaninventory-whit-1999,Geraldine Moodie :,an inventory /,"White, Donny,",,1953-,,1999,1999.,,Regina  :,,"Canadian Plains Research Center, University of Regina,",,"xxviii, 123 pages :","0889770999, 9780889770997",40300753,cn 98920211,,,YES,,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,,,TORONTO-220 MEMORIAL-52 TORONTO-459 LAC-120 CALGARY-441 UALBERTA-98 MANITOBA-114 MCGILL-75 QUEENS-196 REGINA-120 OTTAWA-193 CALGARY-184,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
441,grasslandsettlerstheswiftcurrentregionduringtheeraoftheranchingfrontier-mcgo-1975,Grassland settlers :,the Swift Current region during the era of the ranching frontier /,"McGowan, Don C.,",,1930-,,1975,1975.,,Regina :,,"Canadian Plains Research Center, University of Regina,",,"xii, 205 p. :",0889770026,2491615,76373918,,,YES,,,,YES,,YES,,,,YES,YES,YES,,,CALGARY-271 MEMORIAL-2 TORONTO-288 CALGARY-410 UALBERTA-333 MANITOBA-289 REGINA-8,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3
606,mapmakerphilipturnorinrupertslandintheageofenlightenment-mitc-2013,Mapmaker : Philip Turnor in Rupert's Land in the Age of Enlightenment :  /,,"Mitchell, Barbara",,,,2013,c2017.,,Regina :,,"University of Regina Press,",,"xxiv, 327 p.  :",978088977039,,,,YES,YES,YES,YES,,YES,YES,YES,,YES,,YES,YES,YES,,,BROCK-157 MEMORIAL-92 TORONTO-48 LAC-357 CALGARY-136 UALBERTA-295 CONCORDIA-98 MANITOBA-181 MCGILL-98 REGINA-73 OTTAWA-110 CALGARY-89,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
624,monitoringmigrationintheprairieprovincesadministrativedatasourcesandmethodo-stoc-1982,Monitoring migration in the Prairie Provinces :,administrative data sources and methodologies /,"Stock, Robert,",,1945-,,1982,c1982.,,"Regina, Sask. :",,"Canadian Plains Research Center, University of Regina,",,"viii, 101 p.",0889770239,8905468,82154896,YES,,YES,,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,,YES,CALGARY-370 MEMORIAL-27 TORONTO-208 LAC-23 UALBERTA-18 MANITOBA-179 MCGILL-102 QUEENS-144 REGINA-262 WILFRIDLAURIER-20 OTTAWA-102 ATHABASCA-11 CALGARY-11,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
705,outdoorexperientialeducationforelementaryeducationstudentsfacultyandstudent-pick-1986,Outdoor experiential education for elementary education students :,faculty and student resource manual /,"Pickard, Garth N.",,,,1986,[1986],,[Regina] :,,"Faculty of Education, University of Regina,",,2 v. :,"0773100164, 0773100172, 07731001720773100164",65886613,,,,,,,,,,,,,YES,,,YES,,,UALBERTA-383 UALBERTA-384 QUEENS-153,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
750,powerforaprovinceahistoryofsaskatchewanpower-whit-1976,Power for a province :,a history of Saskatchewan power /,"White, Clinton O.",,,,1976,c1976.,,Regina :,,"Canadian Plains Research Center, University of Regina,",,"xii, 370 p. :","088977000X, 9780889770003","2615807, 756968583",76376592,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,CALGARY-371 ATHABASCA-10 MEMORIAL-46 TORONTO-549 LAC-1 CALGARY-23 UALBERTA-3 CONCORDIA-1 LAVAL-73 MANITOBA-83 MCGILL-121 MONTREAL-15 QUEENS-138 REGINA-9 WILFRIDLAURIER-10 OTTAWA-19,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
793,puttingtheoryintopracticetransferringcreativityintocommunitywisdom--2006,Putting theory into practice :,transferring creativity into community wisdom /,,,,,2006,2006],,[Regina :,,"University of Regina,",,"x, 166 p. :","077310559X, 9780773105591",530996645,,,,,,YES,,,,,,,,,,,,,LAC-221 LAC-240,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
859,runningtobeathellabiographyofamsandynicholson-dyck-1988,Running to beat hell :,a biography of A.M. (Sandy) Nicholson /,"Dyck, Betty.",,,1st ed.,1988,1988.,,[Regina] :,,"Canadian Plains Research Center, University of Regina,",,"xv, 267 p., [24] p. of plates :",0889770514,,,YES,,YES,,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,,YES,CALGARY-473 ATHABASCA-29 MEMORIAL-35 TORONTO-124 LAC-53 CALGARY-56 UALBERTA-24 LAVAL-82 MANITOBA-45 MCGILL-135 QUEENS-58 REGINA-11 WILFRIDLAURIER-42 OTTAWA-47,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3
