ID,TITLE,TITLE_NORMALIZED,AUTHOR,EDITION,PUBLICATION_PLACE_AND_PUBLISHER,PUBLICATION_DATE,EXTENT,MATCHED_TITLES,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE_REMAINDER,AUTHOR_QUALIFIER,AUTHOR_DATE,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
3,Aananiarniq aananiaqatailimaniq /,,,,,,"ii, 352 p., [16] p. of plates :",,aananiarniqaananiaqatailimaniq--2001,,,,2001,c2001.,,"Iqaluit, Nunavut :",,"Silattuqsarvik [Language and Culture Program of Nunavut Arctic College, with the generous support of the Pairijait Tigummivik Elders Society],",,1896204333,49514198,,,,,,YES,,YES,,,,YES,,,YES,YES,,,MANITOBA-17 TORONTO-18 LAC-14 LAC-83 LAC-13 TORONTO-17 LAC-29 UALBERTA-51 OTTAWA-40 LAC-8 UALBERTA-56 LAC-82 LAC-30,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
6,Aksururnaqtut kinguniani :,,,,,,237 p. :,,aksururnaqtutkingunianikatiqsurniqinnarnitarviani--2010,katiqsurniq innarnit Arviani /,,,2010,c2010.,,"Iqaluit, Nunavut :",,"Nunavut Arctic College,",,"1896204724, 9781896204727",753224077,,,,,,YES,,,,,,,,,YES,,,,TORONTO-31 LAC-59,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
7,Annaumanirarniuniraqtavut :,,"Okpik, Abraham,",,,,359 p. :,,annaumanirarniuniraqtavutaivvalahauppikmissaanutunikkaat-okpi-2005,Aivvalaha Uppik missaanut unikkaat /,,1929-1997.,2005,2005.,,Iqaluit :,,"Nunavut Arctic College,",,"1896204759, 9781896204758","71538976, 811614816",,,,,,YES,,YES,,,,YES,,,,YES,,,LAC-38 UALBERTA-44 OTTAWA-46 MANITOBA-28,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
12,Archaeology glossary :,,"Stenton, Douglas Richard,",1997 ed.,,,"v, 91 p.",,archaeologyglossaryenglishinuktitutfrenchglossairedarcheologieanglaisinukti-sten-1997,English/Inuktitut/French = Glossaire d'archeologie : anglais/inuktitut/français /,,1953-,1997,1997.,,"Iqaluit, NT :",,"Nunavut Arctic College, Nunatta Campus,",,"189620418X, 9781896204185",61246235,,,,,,YES,,,,,,YES,,,,YES,,,UALBERTA-5 OTTAWA-30 LAC-45,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
13,Arnait nipingit :,,,2nd ed.,,,219 p. :,,arnaitnipingitinuitwomeninleadershipandgovernance--2010,Inuit women in leadership and governance /,,,2010,c2010.,,Iqaluit :,,"Language and Culture Program of Nunavut Arctic College,",,"1897568088, 9781897568088","1047746188, 978206996",,,,,,,,YES,,YES,YES,YES,,,YES,YES,,,MEMORIAL-27 TORONTO-37 UALBERTA-38 OTTAWA-7 MANITOBA-15 MONTREAL-17,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3
17,Asijjirninga takunnaqtauninganna Kanata :,,"Amagoalik, John.",,,,232 p. :,,asijjirningatakunnaqtauningannakanataunikkaaqtuaqjaanamarualiuvmissaanut-amag-2007,unikkaaqtuaq Jaan Amarualiuv missaanut /,,,2007,c2007.,,"Iqaluit, NU :",,"Nunavut Arctic College,",,"1896204848, 9781896204840",318230799,,,,,,YES,,YES,YES,,YES,YES,YES,,,YES,,,LAC-46 UALBERTA-43 MANITOBA-37 OTTAWA-44 QUEENS-14 LAC-43 UALBERTA-40 MANITOBA-38 MCGILL-4 MONTREAL-9,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3
19,Avatimik Kamattiarniq :,,"Hoffman, Jordan,",,,,"viii, 263 pages :",,avatimikkamattiarniqarcticecologyandenvironmentalstewardship-hoff-2016,Arctic ecology and environmental stewardship /,,,2016,,[2016];©2016,,"[Iqaluit, NU] :",,"Nunavut Arctic College,","1897568487, 9781897568484",1038733867,,,,,,,,,YES,YES,,,,,,YES,,,MEMORIAL-37 UALBERTA-50 MCGILL-2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3
20,Between heaven and earth :,,,,,,"120 pages, 8 unnumbered pages of plates, 120 pages :",,betweenheavenandearththerecollectionsoffelixkupak--2012,the recollections of Felix Kupak /,,,2012,,2012.;©2012,,"Iqaluit, Nunavut :",,"Language and Culture Program of Nunavut Arctic College,","2921438879, 9782921438872","907310915, 932001859",2014481271.0,,,,,,,YES,,YES,YES,,,,YES,YES,,,MEMORIAL-13 TORONTO-11 UALBERTA-73 MANITOBA-69 MONTREAL-12,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3
21,Birth on the land :,,"O'Brien, Beverley Ann Claire,",,,,"144, 144 pages :",,birthonthelandmemoriesofinuiteldersandtraditionalmidwives-obri-2012,memories of Inuit elders and traditional midwives /,,,2012,,[2012];©2012,,"[Arviat, Nunavut] :",,Nunavut Arctic College,"189756810X, 1897568185, 9781897568101, 9781897568187","966255620, 9781897568101, 832455850",,,,YES,,,,YES,YES,YES,,YES,,,,YES,,,MEMORIAL-26 CALGARY-5 UALBERTA-42 OTTAWA-12 MANITOBA-11 MCGILL-3,6,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3
22,"""""""The caribou taste different now"""" :""",,,,,,314 pages :,,cariboutastedifferentnowinuiteldersobserveclimatechange--2016,Inuit elders observe climate change /,,,2016,,[2016];©2016,,"Iqaluit, NU :",,"Nunavut Arctic College Media,","1897568398, 9781897568392",945583292,,,,,,YES,,YES,YES,YES,YES,YES,,,YES,YES,,,LAC-69 MCGILL-1 MEMORIAL-19 TORONTO-10 UALBERTA-46 OTTAWA-4 MANITOBA-33 MONTREAL-13,8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
27,Classifying vertebrates =,,"Christopher, Neil,",,,,"51, 51 p. :",,classifyingvertebratesnalunaijainiqrkimirlulingnit-chri-2005,Nalunaijainiq rkimirlulingnit.,,1972-,2005,c2005.,,[Iqaluit] :,,"Nunavut Bilingual Education Society,",,"1896204783, 9781896204789",71538997,,,,,,YES,,,,,,,,,,,,,LAC-40,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
30,Dental glossary :,,"Pastori, Charles,",,,,"vi, 63 p. :",,dentalglossaryenglishinuktitutfrenchglossairedentaireanglaisinuktitutfranca-past-1994,English/Inuktitut/French = Glossaire dentaire : anglais/Inuktitut/français /,,1954-,1994,1994.,,"Iqaluit, NT :",,"Arctic College, Nunatta Campus = Collège de l'Arctique, Campus Nunatta,",,"1896204007, 9781896204000",40611028,,,,,,YES,,YES,,,,,,,,YES,,,LAC-5 UALBERTA-32 MANITOBA-14 UALBERTA-4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
32,Dreams and dream interpretation /,,,,,,"v, 249 pages :",,dreamsanddreaminterpretation--2001,,,,2001,,[2001].;©2001,,"Iqaluit, Nunavut :",,"Language and Culture Program, Nunavut Arctic College,","1896204481, 9781896204482","49046825, 1036158188, 77357866",,,,,,YES,,YES,,YES,YES,,YES,,YES,YES,,,MEMORIAL-23 TORONTO-44 LAC-11 LAC-84 UALBERTA-16 MANITOBA-8 MONTREAL-2 QUEENS-8,8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
34,Dreams and dream interpretation [text (Inuktitut)] /,,"Kappianaq, George Agiaq.",,,,,,dreamsanddreaminterpretationtextinuktitut-kapp-2001,,,,2001,2001.,,"Iqaluit, NT :",,"Nunavut Arctic College,",,1896204499,1036034155,,,,,,YES,,,,,,,,,,,,,LAC-81,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37,Environmental glossary :,,"Sammons, Katherine.",,,,"v, 142 pages",,environmentalglossaryenglishinuktitutfrenchglossairesurlenvironnementanglai-samm-1994,English/Inuktitut/French = Glossaire sur l'environnement : anglais/inuktitut/français /,,,1994,1994.,,Iqaluit [T.N.-O.] :,,"Arctic College, Nunatta Campus = Collège de l'Arctique, Campus Nunatta,",,"1896204023, 9781896204024",35887537,,,,,,YES,,YES,,,,,,,,YES,,,LAC-3 UALBERTA-1 MANITOBA-47,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
38,The ethnographic recordings of Inuit oral traditions /,,"Mary-Rousselière, Guy,",,,,359 pages :,,ethnographicrecordingsofinuitoraltraditions-mary-2009,,,"1913-1994,",2009,,2009.;©2009,,"Iqaluit, NU :",,"Nunavut Arctic College,","1897568037, 9781897568033","633149209, 726834054",2014481273.0,,,,,YES,,YES,YES,YES,YES,YES,,,YES,YES,YES,,MEMORIAL-12 TORONTO-39 LAC-52 UBC-5 UALBERTA-55 OTTAWA-5 MANITOBA-42 MCGILL-21 MONTREAL-5,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
40,Fighting for our rights :,,"Tapardjuk, Louis,",,,,181 pages :,,fightingforourrightsthelifeoflouistapardjuk-tapa-2013,the life of Louis Tapardjuk /,,,2013,,2013.,,"[Iqaluit, Nunavut] :",,"Nunavut Science Institute of the Nunavut Arctic College,","1897568126, 9781897568125",907260235,2014481270.0,,,,,YES,,YES,,,YES,,,,,,,,MANITOBA-44 LAC-85 LAC-86 MONTREAL-10,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3
42,Glossary of elder's terminology /,,,2005 ed.,,,128 pages,,glossaryofeldersterminology--2005,,,,2005,"2005, ©2003.",,"Iqaluit, Nunavut :",,"The Language and Culture Program of Nunavut Arctic College,",,"1896204627, 9781896204628",154686141,,,,,,YES,,YES,,,,YES,,,,YES,,,LAC-42 UALBERTA-26 OTTAWA-16 MANITOBA-51,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
43,Glossary of government terminology.,,,2003 edition.,,,78 pages,,glossaryofgovernmentterminology--2003,,,,2003,©2003.,,"Iqaluit, NU :",,"Language and Culture Program of Nunavut Arctic College,",,"1896204619, 9781896204611",151197553,,,,,,YES,,YES,,,,YES,,,,YES,,,LAC-41 UALBERTA-24 OTTAWA-17 MANITOBA-41,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
45,Guidelines for working with Inuit elders =,,"Owlijoot, Pelagie.",,,,"19, 19 p. :",,guidelinesforworkingwithinuiteldersmaligaksaitpiliriqatiqangnirmikinuitinna-owli-2008,Maligaksait piliriqatiqangnirmik Inuit innanginnik /,,,2008,2008.,,"[Iqaluit, Nunavut] :",,"Nunavut Arctic College,",,"1553251474, 9781553251477",732948574,,,,,,YES,,,,,,,,,,,,,LAC-57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
46,The hands' measure :,,,,,,391 pages :,,handsmeasureessayshonouringleahaksaajuqotakscontributiontoarcticscience--2018,essays honouring Leah Aksaajuq Otak's contribution to Arctic science /,,,2018,,[2018];©2018,,"Iqaluit, NU :",,"Nunavut Arctic College Media,","189756841X, 9781897568415",1080218222,,,YES,YES,,YES,,YES,YES,YES,,YES,YES,,YES,YES,,,BROCK-4 OTTAWA-13 QUEENS-22 MEMORIAL-36 TORONTO-33 LAC-87 CALGARY-15 UALBERTA-64 MANITOBA-16 MCGILL-22,10,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
48,Hardships of the past :,,,,,,255 pages :,,hardshipsofthepastrecollectionsofarviatelders--2010,recollections of Arviat elders /,,,2010,,2010.;©2010,,"Iqaluit, Nunavut :",,"Nunavut Arctic College,","1896204686, 97818962004686, 9781896204680","753224054, 780494026",2014481272.0,,,,,YES,,YES,YES,YES,YES,YES,,,YES,,YES,,MEMORIAL-11 TORONTO-14 LAC-58 UBC-6 OTTAWA-6 MANITOBA-64 MCGILL-6 MONTREAL-6,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
49,Health glossary for Nunavut educators =,,"Burry, Andrea.",,,,170 pages :,,healthglossaryfornunavuteducatorstukisigiarutitimittiaringnirmut-burr-2015,Tukisigiaruti timittiaringnirmut.,,,2015,©2015.,,[Nunavut] :,,"Nunavut Arctic College,",,"1897568312, 9781897568316",978299338,,,,,,,,YES,,YES,,,,,,YES,,,MANITOBA-49 MEMORIAL-31 UALBERTA-57,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3
51,Human services glossary,,"Korhonen, Marja.",,,,"v, 155 p.",,humanservicesglossaryenglishinuktitutfrenchglossaireservicessociauxangliasi-korh-1997,English/Inuktitut/French = Glossaire services sociaux anglias/inuktitut/français,,,1997,1997.,,"Iqaluit, N.T.",,"Arctic College, Nunatta Campus = Collège de l'Arctique, Campus Nunatta",,1896204147,855334674,,,,,,YES,,YES,,,,,,,,YES,,,UALBERTA-21 MANITOBA-5 UALBERTA-23 LAC-67 LAC-66 MANITOBA-54,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
52,Hunting caribou in the fall /,,,,,,68 pages :,,huntingcaribouinthefall--2016,,,,2016,,[2016];©2016,,"Iqaluit, NU :",,"Nunavut Arctic College Media,","1897568444, 9781897568446",949823522,,,,,,YES,,YES,,YES,,,,,,YES,,,MEMORIAL-39 LAC-71 UALBERTA-49 MANITOBA-62,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
53,Hunting polar bear in the winter /,,,,,,"81, 80 pages :",,huntingpolarbearinthewinter--2018,,,,2018,,[2018];©2018,,"Iqaluit, Nunavut :;Iqaluit, Nunavut :",,"Nunavut Arctic College Media =;Silattuqsarvingmi Tusaqattautilirijiit,","1897568533, 9781897568538",1035318400,,,,,,YES,,,,YES,,,,,,YES,,,MEMORIAL-34 LAC-78 UALBERTA-48,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
54,Hunting seal in the summer /,,,,,,74 pages :,,huntingsealinthesummer--2016,,,,2016,,[2016];©2016,,"Iqaluit, NU :",,"Nunavut Arctic College Media,","1897568428, 9781897568422",949823521,,,,,,YES,,YES,YES,YES,,,,,,YES,,,MEMORIAL-38 LAC-70 UALBERTA-59 MANITOBA-31 MCGILL-7,5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3
55,Iliqkusiliriniup miksaanut nipiliuqtaunnikut Inuit unikkausikkut piqkusiit /,,"Mary-Rousselière, Guy,",,,,310 p. :,,iliqkusiliriniupmiksaanutnipiliuqtaunnikutinuitunikkausikkutpiqkusiit-mary-2009,,,1913-1994.,2009,c2009.,,"Iqaluit, NU :",,"Nunavut Arctic College,",,"1897568045, 9781897568040","633149143, 1032170645",,,,,,YES,,,,,,,,,,,,,LAC-51 LAC-77,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56,Ilunarvingni naisausirinirmut uqausiit (Inuktitut/Rkallunaatitut/Uiviititullu) /,,"Allen, Don.",1997 ed.,,,102 pages,,ilunarvingninaisausirinirmutuqausiitinuktitutrkallunaatitutuiviititulluscho-alle-1997,School mathematics glossary (English/Inuktitut/French) = Glossaire d'enseignement scolaire de mathematiques (anglais/inuktitut/français) / Don Allen.,,,1997,1997.,,"Iqaluit, NT :",,"Ukiuqtaqtumu Silatutqsarvik, Nunatta Ilisarvinga = Arctic College, Nunatta Campus = Collège de l'Arctique, Campus Nunatta,",,"1896204163, 9781896204161",53793507,,,,,,YES,,YES,,,,,,,,YES,YES,,LAC-27 UBC-1 UALBERTA-20 MANITOBA-45,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3
60,Intermediate Inuktitut :,,"Mallon, S. T.",,,,1 v. (various pagings) :,,intermediateinuktitutversion11-mall-1996,version 1.1 /,"(Sydney Tate),",1933-,1996,1996.,,Iqaluit :,,"Ittukuluuk Language Programs,",,1896204252,871819335,,,,,,,,,,,,YES,,,,,,,OTTAWA-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
66,Inuit communities :,,"Dorais, Louis-Jacques,",,,,106 p.,,inuitcommunitiesanintroductiontosocialrelationsandcommunitystudies-dora-2001,an introduction to social relations and community studies /,,1945-,2001,2001.,,"Iqaluit, Nunavut :",,"Nunavut Arctic College, Nunatta Campus,",,189620446,65517846,,,,,,,,YES,,,,YES,,,,YES,,,UALBERTA-14 OTTAWA-20 MANITOBA-29,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
69,Inuit kinship and naming customs in Baffin Region /,,,,,,79 pages :,,inuitkinshipandnamingcustomsinbaffinregion--2014,,,,2014,,[2014];©2014,,"[Iqaluit, NU] :",,"Nunavut Arctic College,","1897568177, 9781897568170","946081839, 9781897568170, 1041279562",,,,YES,YES,,,YES,YES,YES,YES,,,,,YES,,,MEMORIAL-40 CALGARY-4 UALBERTA-62 CONCORDIA-4 MANITOBA-25 MCGILL-10 MONTREAL-15,7,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3
70,Inuit laws :,,"Aupilaarjuk, Mariano.",2nd edition.,,,pages cm.,,inuitlawspiqujaitmaligaitandtirigusuusiit-aupi-2017,"piqujait, maligait, and tirigusuusiit /",,,2017,,2017.,,"Iqaluit, Nunavut :",,"Nunavut Arctic College Media,","1897568509, 9781897568507","985966196, 9781897568507",,,YES,YES,YES,YES,,YES,YES,YES,,,YES,,YES,YES,,,TORONTO-7 CALGARY-8 BROCK-6 UALBERTA-60 MANITOBA-50 MEMORIAL-35 LAC-74 CONCORDIA-6 MCGILL-11 QUEENS-19,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
74,Inuit qaujimajatuqangit :,,,,,,"iv, 294 p. :",,inuitqaujimajatuqangitangakkuunirluullumilisauliqtunutnattannginnilliuqpakt--2002,angakkuunirlu ullumilisauliqtunut nattannginnilliuqpaktunik aaqkiksuiniq /,,,2002,c2002.,,[Iqaluit] :,,"Nunavut Arctic College, [Language and Culture Program],",,"11896204570, 1896204570, 9781896204574",53793468,,,,,,YES,,YES,,,,,,,YES,,,,TORONTO-22 LAC-26 MANITOBA-12,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
75,Inuit qaujimajatuqangit :,,,,,,"iii, 231 p. :",,inuitqaujimajatuqangitshamanismandreintegratingwrongdoersintothecommunity--2002,shamanism and reintegrating wrongdoers into the community /,,,2002,c2002.,,Iqaluit :,,"Nunavut Arctic College, Language and Culture Program,",,"1896204562, 2896204562, 9781896204567",53793393,,,,,,YES,,YES,,,,YES,YES,,YES,YES,,,TORONTO-43 LAC-25 UALBERTA-69 OTTAWA-8 MANITOBA-46 QUEENS-13,6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
76,Inuit uqausiqatigiit =,,"Dorais, Louis-Jacques,",Updated edition.,,,"viii, 262 pages :",,inuituqausiqatigiitinuitlanguages&dialects-dora-2017,Inuit languages & dialects /,,1945-,2017,,[2017];©2017,,"Iqaluit, NU :",,"Nunavut Arctic College Media,","1897568517, 9781897568514",1035321710,,,YES,,,YES,,YES,YES,YES,,,,,,YES,,,BROCK-5 MEMORIAL-29 LAC-79 UALBERTA-63 MANITOBA-43 MCGILL-13,6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3
77,Inuit uqausiqatigiit =,,"Dorais, Louis-Jacques,","2nd., rev. ed.",,,"iv, 183 p. :",,inuituqausiqatigiitinuitlanguagesanddialects-dora-2003,Inuit languages and dialects /,,1945-,2003,2003.,,Iqaluit :,,"Nunavut Arctic College,",,"1895050014, 9781895050011",53847235,,,,YES,,YES,,,YES,,,,,,,,,,LAC-32 CALGARY-1 MCGILL-12,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3
78,Inuit worldviews :,,,2nd edition.,,,"x, 321 pages",,inuitworldviewsanintroduction--2017,an introduction /,,,2017,,[2017];©2017,,"Iqaluit, NU :",,"Nunavut Arctic College Media,","1897568525, 9781897568521",1019812268,,,YES,YES,YES,YES,,YES,YES,YES,,,YES,,YES,YES,,,BROCK-7 MEMORIAL-30 LAC-76 CONCORDIA-7 MCGILL-14 QUEENS-18 TORONTO-8 CALGARY-9 UALBERTA-61 MANITOBA-2,10,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
80,Inuktitut 110 /,,"Kublu, Alexina.",,,,2 v. :,,inuktitut110-kubl-1996,,,,1996,c1996.,,Iqaluit :,,"Nunavut Arctic College, Nunatta Campus,",,"189620404X, 9781896204048",156489638,,,,,,YES,,YES,,,,YES,,,,YES,,,UALBERTA-27 OTTAWA-35 MANITOBA-21 LAC-75,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
82,Inuktitut 115 /,,"Kublu, Alexina.",,,,"109, 9 pages :",,inuktitut115-kubl-1996,,,,1996,©1996.,,Iqaluit :,,"Nunavut Arctic College, Nunatta Campus,",,"1896204104, 9781896204109",47146649,,,,,,YES,,YES,,,,YES,,,,YES,,,LAC-10 UALBERTA-8 OTTAWA-33 MANITOBA-60,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
83,Inuktitut 120 /,,"Kublu, Alexina.",,,,2 v. :,,inuktitut120-kubl-1996,,,,1996,c1996.,,Iqaluit :,,"Nunavut Arctic College, Nunatta Campus,",,"1896204066, 9781896204062",156498980,,,,,,YES,,YES,,,,YES,,,,YES,,,UALBERTA-28 OTTAWA-36 MANITOBA-23 LAC-64,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
86,Inuktitut 130 /,,"Kublu, Alexina.",,,,2 v.,,inuktitut130-kubl-1996,,,,1996,c1996.,,Iqaluit :,,"Nunavut Arctic College, Nunatta Campus,",,"1896204082, 9781896204086",156506703,,,,,,YES,,YES,,,,YES,,,,YES,,,UALBERTA-29 OTTAWA-37 MANITOBA-6 LAC-60,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
88,Inuktitut :,,"Spalding, Alex.",,,,"xi, 195 pages",,inuktitutamultidialectaloutlinedictionarywithanaivilingmiutaqbase-spal-1998,a multi-dialectal outline dictionary (with an Aivilingmiutaq base) /,,,1998,c1998.,,"Iqaluit, NT :",,"Nunavut Arctic College,",,"1896204295, 9781896204291",39354748,,,,YES,,YES,,YES,YES,YES,,YES,YES,,YES,YES,,,MEMORIAL-4 TORONTO-36 LAC-4 CALGARY-10 UALBERTA-6 OTTAWA-39 MANITOBA-52 MCGILL-15 QUEENS-1,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
89,Inuktitut qarisaujakkut naqittariuqsajjut (Naamajut atuqlhugit) /,,"Kublu, Alexina.",1996 ed.,,,32 leaves :,,inuktitutqarisaujakkutnaqittariuqsajjutnaamajutatuqlhugit-kubl-1996,,,,1996,1996.,,"Iqaluit, NT :",,"Nunavut Arctic College,",,"1896204198, 9781896204192",154211544,,,,,,YES,,YES,,,,YES,,,,YES,,,OTTAWA-34 UALBERTA-25 MANITOBA-61 LAC-65,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3
91,Inuupluni uqalimaariursaqti tauniq :,,"Ittinuar, Peter Freuchen,",,,,210 p. :,,inuupluniuqalimaariursaqtitauniqpiitaitinnuapuqaqatigijauninga-itti-2009,Piita Itinnuap uqaqatigijauninga /,,1950-,2009,c2008.,,"Iqaluit, NU :",,"Nunavut Arctic College,",,"1896204910, 9781896204918",731321174,,,,,,YES,,,,,,,,,,,,,LAC-55,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
94,Kangiryuarmiut Inuinnaqtun :,,"Kudlak, Emily,",,,,"xxviii, 553 pages",,kangiryuarmiutinuinnaqtunuqauhiitaanumiktitirutaitdictionary-kudl-2018,uqauhiitaa numiktitirutait dictionary /,,,2018,,[2018];©2018,,"Iqaluit, NU :",,"Nunavut Arctic College Media,","189756855X, 9781897568552",1049264838,,,,,,,,YES,YES,YES,,YES,YES,,YES,,,,MEMORIAL-33 TORONTO-27 OTTAWA-15 MANITOBA-55 MCGILL-16 QUEENS-21,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3
97,Land claims glossary :,,"Crawford, Ann.",,,,"v, 130 pages",,landclaimsglossaryenglishinuktitutfrenchglossairedesrevendicationsterritori-craw-1994,English/Inuktitut/French = Glossaire des revendications territoriales : anglais/inuktitut/français /,,,1994,1994.,,Iqaluit [T.N.-O.] :,,"Arctic College, Nunatta Campus = Collège de l'Arctique, Campus Nunatta,",,"1896204031, 9781896204031","35887531, 35880066",,,,,,YES,,YES,,,,,,,,YES,,,LAC-2 UALBERTA-2 LAC-50 MANITOBA-1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
99,Language in Inuit society /,,"Dorais, Louis-Jacques,",,,,111 pages,,languageininuitsociety-dora-1996,,,1945-,1996,1996.,,Iqaluit [Nunavut] :,,"Nunavut Arctic College, Nunatta Campus,",,"1896204287, 9781896204284",43897052,,,,YES,YES,YES,,YES,,YES,,YES,,,YES,YES,,,MEMORIAL-3 TORONTO-5 TORONTO-40 LAC-6 CALGARY-12 UALBERTA-7 CONCORDIA-1 OTTAWA-19 MANITOBA-58,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
100,Language in Nunavut :,,"Dorais, Louis-Jacques,",,,,"vi, 194 pages :",,languageinnunavutdiscourseandidentityinthebaffinregion-dora-2002,discourse and identity in the Baffin Region /,,1945-,2002,,[2002];©2002,,Iqaluit :,,"Nunavut Arctic College, Language and Culture Program,","1896204600, 9781896204604",53900216,,,,,,YES,,YES,,YES,,YES,,,YES,YES,,,MEMORIAL-28 TORONTO-19 LAC-34 UALBERTA-18 OTTAWA-38 MANITOBA-34,6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
