ID,TITLE,TITLE_NORMALIZED,AUTHOR,EDITION,PUBLICATION_PLACE_AND_PUBLISHER,PUBLICATION_DATE,EXTENT,MATCHED_TITLES,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE_REMAINDER,AUTHOR_QUALIFIER,AUTHOR_DATE,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
125,Purpose and principles /,,,,,,56 unnumbered pages,,purposeandprinciples--1997,,,,1997,1997.,,Iqaluit :,,"Nunavut Teacher Education Program,",,1896204260,995579999,,,,,,,,,,YES,,,,,,,,,MEMORIAL-6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,The qaggiq model :,,"McGrath, Janet Tamalik,",,,,406 pages :,,qaggiqmodeltowardatheoryofinuktutknowledgerenewal-mcgr-2018,toward a theory of Inuktut knowledge renewal /,,,2018,,[2018];©2018,,"Iqaluit, NU :",,"Nunavut Arctic College Media,","1897568584, 9781897568583",1080219451,,,YES,,,,,YES,YES,YES,,YES,YES,,YES,YES,,,BROCK-3 MEMORIAL-22 TORONTO-32 UALBERTA-65 OTTAWA-14 MANITOBA-26 MCGILL-23 QUEENS-20,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3
127,Qaujimajariaqaqtugut kinaunittinnik :,,"Quassa, Paul Aarulaaq.",,,,221 p. :,,qaujimajariaqaqtugutkinaunittinnikpaalquasaupinuusinganikunikkaaq-quas-2007,Paal Quasaup inuusinganik unikkaaq /,,,2007,c2007.,,"Iqaluit, NU :",,"Nunavut Arctic College,",,"1896204899, 9781896204895",731321177,,,,,,YES,,,,,,,,,,,,,LAC-56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
128,Representing Tuurngait /,,,,,,"vi, 212 pages :",,representingtuurngait--2000,,,,2000,2000.,,"Iqaluit, N.W.T. :",,"Nunavut Arctic College,",,"1896204449, 9781896204444",77083844,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,,YES,YES,YES,,BROCK-2 MEMORIAL-8 LAC-33 CONCORDIA-2 MANITOBA-59 MCGILL-9 QUEENS-10 TORONTO-13 TORONTO-21 MCGILL-17 QUEENS-11 LAC-68 UALBERTA-11 OTTAWA-22 MANITOBA-48 TORONTO-15 MONTREAL-1 MEMORIAL-10 LAC-31 UBC-7 MCGILL-26 QUEENS-9,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
129,School science glossary :,,"Allen, Don.",1997 ed.,,,"xiii, 143 p.",,schoolscienceglossaryenglishinuktitutfrenchglossairescientifiqueeleimentair-alle-1997,(English/Inuktitut/French) = Glossaire scientifique eleÌmentaire : (Anglais/Inuktitut/FrancÌ§ais) /,,,1997,c1997.,,"Iqaluit, Nunavut :",,"Nunavut Arctic College,",,1896204171,56838435,,,,,,,,YES,,,,YES,,,,,,,MANITOBA-39 OTTAWA-29,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
131,Science ideas for elementary classrooms /,,"Christopher, Neil,",,,,v. :,,scienceideasforelementaryclassrooms-chri-2005,,,1972-,2005,c2005.,,[Iqaluit?] :,,"Nunavut Bilingual Education Society,",,"1896204678, 9781896204673",772460441,,,,,,,,,,,,,,,,YES,,,UALBERTA-35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
132,Sinnakturniq sinnaktuumaniglu tukiliuriniq /,,"Kappianaq, George Agiaq.",,,,"v, 294 p. :",,sinnakturniqsinnaktuumaniglutukiliuriniq-kapp-2001,,,,2001,c2001.,,"Iqaluit, Nunavut :",,"[Language and Culture Program], Nunavut Arctic College,",,"189620449X, 189620499X, 9781896204499","49514292, 855341738",,,,,,YES,,YES,,,,,,,YES,YES,,,TORONTO-25 LAC-15 UALBERTA-52 MANITOBA-7,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
133,Surviving in different worlds :,,,,,,"xvi, 279 p., [10] p. of plates :",,survivingindifferentworldstransferringinuittraditionsfromelderstoyouth--2007,transferring Inuit traditions from elders to youth /,,,2007,c2007.,,Iqaluit :,,"Nunavut Arctic College,",,"1896204708, 9781896204703",351393491,,,,,,,,,,YES,,YES,,,,YES,,,MEMORIAL-41 UALBERTA-33 OTTAWA-11,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
136,Taiksumani :,,"Christopher, Neil,",,,,"60, 60 p. :",,taiksumaniinuitmythsandlegendstaiksumaniinuitukpirijangitunikkaaqtuangillu-chri-2004,Inuit myths and legends = Taiksumani : Inuit ukpirijangit unikkaaqtuangillu.,,1972-,2004,c2004.,,[Iqaluit] :,,"Nunavut Bilingual Education Society,",,"1896204651, 9781896204659",61525697,,,,,,YES,,,,,,,,,,,,,LAC-35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
137,Takunnannguaqtara :,,"Arvaluk, James,",,,,"xxxvi, 200 pages :",,takunnannguaqtarajaimsarvaalupinuusingatatunikkaanga-arva-2008,Jaims Arvaalup inuusingatat unikkaanga /,,"1948-2016,",2008,,[2008];©2007,,"Iqaluit, NU :",,"Nunavut Arctic College,","1896204864, 9781896204864",319931445,,,,,,YES,,YES,YES,YES,YES,YES,YES,,YES,YES,,,LAC-48 UALBERTA-54 MEMORIAL-14 LAC-47 OTTAWA-42 MCGILL-20 MONTREAL-7 QUEENS-15 TORONTO-23 UALBERTA-41 OTTAWA-26 MANITOBA-3,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
