ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
535,tellthedriverabiographyofelinorfeblack-vand-1992,Tell the driver :,a biography of Elinor F.E. Black /,"Vandervoort, Julie,",,1958-,,1992,©1992.,,Winnipeg :,,"University of Manitoba Press,",,"viii, 327 p. :","0887551572, 9780887551574",869385917,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,MONTREAL-54 ATHABASCA-23 MEMORIAL-20 TORONTO-80 TORONTO-238 LAC-86 UBC-117 CALGARY-143 UALBERTA-63 LAVAL-97 MANITOBA-146 MCGILL-168 QUEENS-20 REGINA-64 OTTAWA-90,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
537,temnomestobaladi-dimo-1999,Temno mesto :,baladi /,"Dimoski, Slave Ǵorǵo,",,1959-,,1999,1999.,,Skopje :,,"ZUMPRES,",,84 p. :,9989420831,225406699,,,,,,,,,,,,,,,YES,,,,TORONTO-237,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
538,tempoderockeluz-chem-2004,Tempo de rock e luz.,,"CHEMALE, FERNANDA.",,,,2004,"2004,",,"Porto Alegre,",,"Author, Prefeitura de Porto Alegre, Secretaria Municipal da Cultura, FUMPROARTE - Fundo Municipal de Apoio a Producao Artistica e Cultural,",,"83pp.,",8590431916,,,,,,,,,,,,,,,,YES,,,,TORONTO-333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
542,thisbenevolentexperimentindigenousboardingschoolsgenocideandredressincanada-wool-2015,This benevolent experiment :,"indigenous boarding schools, genocide, and redress in Canada and the United States /","Woolford, Andrew John,",,1971-,,2015,,[2015];©2015,,Winnipeg :,,"University of Manitoba Press,","xiv, 431 pages :","0887557864, 9780803276727, 9780887557866","910393982, 9780803276727",,,YES,YES,,YES,,,YES,,YES,,,,YES,YES,,,BROCK-170 TORONTO-104 LAC-224 CALGARY-227 UALBERTA-172 MCGILL-197 TORONTO-36 MONTREAL-68,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3
545,thomasscottsbodyandotheressaysonearlymanitobahistory-bums-2000,Thomas Scott's body :,and other essays on early Manitoba history /,"Bumsted, J. M.,",,1938-,,2000,c2000.,,Winnipeg :,,"University of Manitoba Press,,",,"x, 258 p. :","0887556450, 9780887556456",45045183,,YES,YES,YES,YES,YES,,YES,YES,YES,,YES,,YES,YES,YES,YES,,ATHABASCA-38 BROCK-114 MEMORIAL-52 TORONTO-205 LAC-110 UBC-118 CALGARY-58 UALBERTA-78 CONCORDIA-43 MANITOBA-152 MCGILL-198 OTTAWA-2 REGINA-78 CALGARY-86,13,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
548,thosewhobelongidentityfamilybloodandcitizenshipamongthewhiteearthanishinaab-doer-2014,Those who belong :,"identity, family, blood, and citizenship among the White Earth Anishinaabeg /","Doerfler, Jill,",,,,2014,,,,,,,pages cm.,9780887557965,,,,,YES,,YES,,,,,,,,,YES,,,,TORONTO-281 TORONTO-66 LAC-225 CALGARY-225,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
550,thousandmilesofprairiethemanitobahistoricalsocietyandthehistoryofwesterncan--2002,A thousand miles of prairie :,the Manitoba Historical Society and the history of Western Canada /,,,,,2002,2002.,,Winnipeg :,,"University of Manitoba Press,",,"ix, 259 pages :","0887556655, 9780887556654","50942204, 887556655, 762406312",,,,YES,,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,YES,,MEMORIAL-60 TORONTO-275 LAC-118 UBC-120 CALGARY-64 UALBERTA-89 LAVAL-7 MANITOBA-169 MCGILL-13 QUEENS-106 REGINA-81 CALGARY-82,11,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
552,thrashingseasonssportingcultureinmanitobaandthegenesisofprairiewrestling-hatt-2016,Thrashing seasons :,sporting culture in Manitoba and the genesis of prairie wrestling /,"Hatton, C. Nathan,",,1978-,,2016,,2016.,,"Winnipeg, Manitoba :",,"University of Manitoba Press,","xi, 340 pages","0887554954, 0887554970, 0887558003, 9780887554957, 9780887554971, 9780887558009",927382671,,,YES,YES,,YES,,YES,,,,,,,YES,,,,BROCK-70 TORONTO-171 LAC-226 CALGARY-130 MANITOBA-110,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
557,towarddefiningtheprairiesregioncultureandhistory--2001,Toward defining the prairies :,"region, culture and history /",,,,,2001,c2001.,,Winnipeg :,,"University of Manitoba Press,",,229 p.,"0887556728, 9780887556722","46629402, 423844042",,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,,ATHABASCA-31 BROCK-115 MEMORIAL-162 TORONTO-268 LAC-112 UBC-119 UBC-121 CALGARY-262 UALBERTA-77 CONCORDIA-45 LAVAL-118 MANITOBA-168 MCGILL-199 QUEENS-100 REGINA-79 OTTAWA-102 CALGARY-181,16,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
559,towardsanewethnohistorycommunityengagedscholarshipamongthepeopleoftheriver--2018,Towards a new ethnohistory :,community-engaged scholarship among the People of the River /,,,,,2018,,[2018];©2018,,"Winnipeg, Manitoba :",,"University of Manitoba Press,","xiii, 289 pages :","0887558178, 9780887555473, 9780887555497, 9780887558177",1024123539,,,YES,YES,,,,YES,YES,,,,,,YES,,,,BROCK-81 TORONTO-391 CALGARY-70 MANITOBA-140 MCGILL-200,5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3
562,travellingknowledgespositioningtheimmigrantreaderofaboriginalliteraturesinc-eige-2005,Travelling knowledges :,positioning the im/migrant reader of aboriginal literatures in Canada /,"Eigenbrod, Renate,",,1944-2014,,2005,c2005.,,Winnipeg :,,"University of Manitoba Press,",,"xvi, 280 p. :","0887556817, 9780887556814","59338860, 424152502",,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,BROCK-125 MEMORIAL-121 TORONTO-259 TORONTO-271 LAC-131 UBC-122 UBC-124 CALGARY-10 UALBERTA-98 CONCORDIA-52 LAVAL-120 MANITOBA-143 MCGILL-202 MONTREAL-27 QUEENS-115 REGINA-87 WILFRIDLAURIER-50 OTTAWA-57 OTTAWA-121,19,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
563,travellingpassionsthehiddenlifeofvilhjalmurstefansson-gisl-2005,Travelling passions :,the hidden life of Vilhjalmur Stefansson /,"Gísli Pálsson,",,,,2005,2005.,,"Winnipeg, MB :",,"University of Manitoba Press,",,"xviii, 374 p. :","0887551793, 9780887551796",60602258,,,,YES,,YES,,YES,YES,,,YES,YES,YES,YES,YES,YES,,TORONTO-110 TORONTO-199 LAC-132 UBC-123 CALGARY-119 UALBERTA-102 MANITOBA-138 MCGILL-203 QUEENS-116 REGINA-89 OTTAWA-34 CALGARY-281,11,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
566,twoyearsbelowthehornoperationtabarinfieldscienceandantarcticsovereignty1944-tayl-2017,Two years below the Horn :,"Operation Tabarin, field science, and Antarctic sovereignty, 1944-1946 /","Taylor, Andrew,",,"1907-1993,",,2017,,[2017];©2017,,"Winnipeg, Manitoba :",,"University of Manitoba Press,","xl, 456 pages :","0887557910, 9780887555480, 9780887555503, 9780887557910","961152311, 1131541830",,,,YES,,YES,YES,YES,YES,,,,,,YES,,,,TORONTO-398 LAC-234 CALGARY-237 LAVAL-121 MANITOBA-130 MCGILL-204,6,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
567,ubunturelationallovedecolonizingblackmasculinities-muci-2019,Ubuntu relational love :,decolonizing Black masculinities /,"Mucina, Devi Dee,",,1972-,,2019,,2019.,,"Winnipeg, Manitoba :",,"University of Manitoba Press,","xiv, 218 pages :","0887558429, 9780887555862, 9780887555886, 9780887558429",1090687212,,,YES,YES,YES,YES,,,,YES,,,,,YES,YES,,,BROCK-185 MEMORIAL-195 TORONTO-291 LAC-278 CALGARY-95 UALBERTA-191 CONCORDIA-121,7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
568,ulyssesandthewastelandfiftyyearsafter--1972,Ulysses and the Waste land :,fifty years after /,,,,,1972,1972.,,Winnipeg :,,"University of Manitoba Press,",,241 p. :,"0919475094, 9780919475090","564405, 868164578",,,,,,YES,,,,,,YES,,,,,,,LAC-10 OTTAWA-114,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
570,unbecomingnationalismfromcommemorationtoredressincanada-vost-2019,Unbecoming nationalism :,from commemoration to redress in Canada /,"Vosters, Helene",,,,2019,,[2019].;©2019,,"Winnipeg, Manitoba :",,"University of Manitoba Press,","ix, 262 pages :","0887558410, 9780887555831, 9780887555855, 9780887558412",1090688983,,,YES,YES,YES,YES,,,YES,YES,,,,,YES,YES,,,BROCK-180 MEMORIAL-96 TORONTO-363 LAC-281 CALGARY-196 UALBERTA-190 CONCORDIA-124 MCGILL-205,8,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3
571,uncertainbusinessofdoinggoodoutsidersinafrica-krot-2008,The uncertain business of doing good :,outsiders in Africa /,"Krotz, Larry,",,1948-,,2008,c2008.,,Winnipeg :,,"University of Manitoba Press,",,220 p. :,"0887557074, 9780887557071","225773911, 1131449688",,,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,BROCK-41 MEMORIAL-175 TORONTO-151 TORONTO-216 LAC-155 UBC-126 CALGARY-145 UALBERTA-119 CONCORDIA-62 LAVAL-114 MANITOBA-127 MCGILL-194 QUEENS-37 REGINA-21 WILFRIDLAURIER-65 OTTAWA-55 OTTAWA-152,17,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
572,undressedtorontofromtheswimmingholetosunnysidehowacitylearnedtolovethebeach-barb-2021,Undressed Toronto :,"from the swimming hole to Sunnyside, how a city learned to love the beach, 1850-1935 /","Barbour, Dale,",,1970-,,2021,,2021.,,"Winnipeg, Manitoba :",,"University of Manitoba Press,",322 pages :,"0887559476, 0887559530, 9780887559471, 9780887559495, 9780887559518, 9780887559532",1246170119,,,,,YES,,,,,,,,,,YES,,,,TORONTO-8 CONCORDIA-136,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
573,universityofmanitobaanillustratedhistory-bums-2001,The University of Manitoba :,an illustrated history /,"Bumsted, J. M.,",,1938-,,2001,c2001.,,Winnipeg :,,"University of Manitoba Press,",,"xi, 228 p. :","0887551726, 0887556531, 9780887551727, 9780887556531","47991283, 977600072, 887551726, 398062832",,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,,ATHABASCA-32 BROCK-117 MEMORIAL-58 TORONTO-185 LAC-113 UBC-140 CALGARY-60 UALBERTA-80 LAVAL-115 MANITOBA-19 MCGILL-195 MONTREAL-22 QUEENS-101 OTTAWA-136,14,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
576,veryremarkablesicknessepidemicsinthepetitnord16701846-hack-2013,"A very remarkable sickness : epidemics in the Petit Nord, 1670-1846 :  /",,"Hackett, Paul",,,,2013,c2002.,,Winnipeg :,,"University of Manitoba,",,"xvii, 315 p.  :",0887556590,,,,YES,YES,YES,YES,,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,BROCK-32 MEMORIAL-171 TORONTO-341 LAC-120 UBC-141 UBC-143 UBC-150 CALGARY-263 UALBERTA-85 CONCORDIA-47 MANITOBA-194 MCGILL-1 QUEENS-107 WILFRIDLAURIER-41 OTTAWA-112 CALGARY-178,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
577,waskahikaniwiyiniwacimowina-vand-1987,Wa?skahikaniwiyiniw-a?cimowina /,,"Vandall, Peter.",,,,1987,1987.,,Winnipeg :,,"University of Manitoba Press,",,XIV-240 p.,"0887551335, 9780887551338",462927236,,YES,,YES,,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,YES,YES,ATHABASCA-11 UBC-135 LAVAL-122 WILFRIDLAURIER-4 MEMORIAL-59 TORONTO-295 LAC-248 CALGARY-106 UALBERTA-23 MANITOBA-108 QUEENS-17 OTTAWA-151 MCGILL-206,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
