ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
6742,politicalbehaviorofhighschoolstudentsintrinidad-doug-1968,The political behavior of high school students in Trinidad.,,"Douglin, Junette J.",,,,1968,1968.,,Montre?al :,,"McGill University,",,1 volume,,1245964617,,,,,,,,,YES,,,,,,,,,,MCGILL-3834,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6743,politicalchangeinsouthasia-subr-2018,Political change in South Asia /,,"Subramanian, Narendra.",,,,2018,,2018.,,Montreal :,,"McGill University,",2 volumes :,"1459948300, 9781459948303",1052783628,,,,,,,,,YES,,,,,,,,,,MCGILL-2672,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6744,politicalchoicesandelectoralconsequencesastudyoforganizedlabourandthenewdem-arch-1990,Political choices and electoral consequences :,a study of organized labour and the New Democratic Party /,"Archer, Keith,",,1955-,,1990,c1990.,,Montreal :,,"McGill-Queen's University Press,",,"x, 114 p. :","0773507442, 0773562370, 9780773507449, 9780773562370","24630724, 300628816",,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,ATHABASCA-201 BROCK-219 MEMORIAL-1262 TORONTO-1778 LAC-723 UBC-940 CALGARY-224 UALBERTA-403 CONCORDIA-341 LAVAL-1895 MANITOBA-236 MCGILL-2673 MONTREAL-579 QUEENS-751 WILFRIDLAURIER-892 OTTAWA-1715,16,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3
6745,politicalconsultationinnato-hill-1978,Political consultation in NATO /,,"Hill, Roger.",,,,1978,c1978.,,"Toronto :;[Kingston, Ont.] :",,"Canadian Institute of International Affairs ;;Centre for International Studies, Queen's University,",,143 p. :,,"3816476, 490976182",,,,,,,YES,,,,YES,,,,,YES,,,UALBERTA-2687 LAVAL-1896 MONTREAL-1252,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3
6746,politicaleconomyoffederalisminsearchofanewcomparativeperspectivewithcritica-hueg-1990,A political economy of federalism :,in search of a new comparative perspective with critical intent throughout /,"Hueglin, Thomas O.",,,,1990,c1990.,,"Kingston, Ont., Canada :",,"Institute of Intergovernmental Relations, Queen's University,",,"xii, 67 p.","0889115664, 9780889115668","23147054, 300928440",90215659,,,,,,YES,,,,YES,,,,,YES,,,UALBERTA-3592 LAVAL-98 MONTREAL-656,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3
6747,politicaleconomyofgermany18151914-kitc-1978,"The political economy of Germany, 1815-1914 /",,"Kitchen, Martin.",,,,1978,1978,,London :;Montreal :,,"Croom Helm ;;McGill-Queen's University Press,",,304 pages,"0773505016, 0856646105, 9780773505018, 9780856646102","60058997, 4179709, 300358008",,,,YES,YES,YES,YES,,YES,YES,YES,YES,,,,,YES,,MEMORIAL-1961 LAC-261 UBC-904 CALGARY-1622 CONCORDIA-1271 LAVAL-2783 MCGILL-3835 MONTREAL-479 OTTAWA-802,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
6749,politicaleconomyoftariffstructures-cave-1975,The political economy of tariff structures.,,"Caves, Richard E.",,,,1975,1975.,,"Kingston, Ont.,",,"Institute for Economic Research, Queen's University,",,31 leaves.,,2423842,,,,,,,,,,,,,,,,YES,,,UALBERTA-2580,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6750,politicalecumenismcatholicsjewsandprotestantsindegaullesfreefrance19401945-adam-2006,Political ecumenism :,"Catholics, Jews, and Protestants in de Gaulle's Free France, 1940-1945 /","Adams, Geoffrey,",,1926-2012.,,2006,©2006.,,Montreal ;;Ithaca :,,"McGill-Queen's University Press,",,"xxiii, 395 pages, 6 unnumbered pages of plates :","0773530762, 9780773530768","65423937, 145788577",2007407182,,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,,BROCK-2339 MEMORIAL-1901 TORONTO-754 TORONTO-1187 LAC-2099 UBC-1402 CALGARY-1049 UALBERTA-1560 CONCORDIA-1092 LAVAL-1897 MANITOBA-1976 MCGILL-2674 QUEENS-166 REGINA-12 OTTAWA-1292,15,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3
6751,politicalideologiesincontemporaryrussia-cheb-2020,Political ideologies in contemporary Russia /,,"Chebankova, Elena A.,",,,,2020,,2020;©2020,,Montreal ;;Kingston ;;London ;;Chicago :,,"McGill-Queen's University Press,",336 pages,"0228003407, 0228003415, 9780228003403, 9780228003410, 9780228004370, 9780228004387",1142530791,2020476312,,,,YES,YES,,,,,,,,,,,,,LAC-4181 CONCORDIA-2106,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
6753,politicalphilosophy-know-2001,Political philosophy /,,"Knowles, Dudley.",,,,2001,2001.,,Montreal :,,"McGill-Queen's University Press,",,"xv, 392 p.","0773522360, 0773522379, 9780773522367, 9780773522374","46660958, 773522360, 154652879",,,,YES,,YES,YES,YES,YES,,YES,,,,,YES,,,LAC-1551 CALGARY-1778 UALBERTA-1082 LAVAL-1899 MANITOBA-1161 MCGILL-2676 MONTREAL-191,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3
