ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
15,advancedirectivesandsubstitutedecisionmakinginpersonalhealthcare--1991,Advance directives and substitute decision-making in personal health care /,,,,,,1991,1991.,,Edmonton :,,"The Institute,",,"iii, 90 p.",,,,,,YES,,YES,,YES,,,,YES,YES,,YES,YES,,,TORONTO-757 LAC-287 CALGARY-21 UALBERTA-61 MANITOBA-33 QUEENS-162 QUEENS-362 OTTAWA-429,8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
16,advancedirectivesandsubstitutedecisionmakinginpersonalhealthcare--1993,Advance directives and substitute decision-making in personal health care /,,,,,,1993,1993.,,"Edmonton, Alta. :",,"The Institute,",,"ii, 60 p.","0888641745, 088864180X","33359222, 184882667",,,,YES,,YES,,YES,,YES,,YES,YES,,YES,YES,,,TORONTO-245 CALGARY-46 UALBERTA-130 MANITOBA-41 QUEENS-363 QUEENS-464 OTTAWA-544 MEMORIAL-285 LAC-305,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
18,advancesinscintillationcounting--1983,Advances in scintillation counting /,,,,,,1983,c1983.,,Edmonton :,,"University of Alberta Press,",,"x, 292 p. :","0888649673, 9780888649676",15963058,,YES,,,,YES,,YES,,,,,,,,YES,,,ATHABASCA-16 LAC-104 UALBERTA-125 MANITOBA-68,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
19,alberta--1988,Alberta.,,,,,,1988,[©1988]-,,[Edmonton] :,,"[University of Alberta Press],",,volumes :,,321019181,,,,,,YES,,,,,,,,,,,,,LAC-540,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,alberta19541979aprovincialbibliography-stra-1982,"Alberta, 1954-1979 :",a provincial bibliography /,"Strathern, Gloria M.",,,,1982,1982.,,Edmonton :,,"The University of Alberta, Department of Printing Services,",,"xv, 745 pages","088864949X, 088864969X, 9780888649690",9228930,,,,YES,,YES,,YES,YES,YES,,,,,,YES,,,MEMORIAL-403 LAC-49 CALGARY-10 UALBERTA-12 MANITOBA-47 MCGILL-49,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
21,albertaandtheeconomicsofconstitutionalchange--1992,Alberta and the economics of constitutional change /,,,,,,1992,c1992.,,Edmonton :,,"Western Centre for Economic Research, University of Alberta,",,300 pages :,,,,,,YES,YES,YES,,YES,YES,YES,,YES,YES,,YES,YES,,YES,MEMORIAL-212 TORONTO-1146 LAC-258 CALGARY-344 UALBERTA-68 CONCORDIA-18 MANITOBA-35 MCGILL-156 QUEENS-131 WILFRIDLAURIER-39 OTTAWA-147,11,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
22,albertacatholicschoolsasocialhistory-tkac-1983,Alberta Catholic schools :,a social history /,"Tkach, Nicholas,",,1927-,,1983,1983.,,Edmonton :,,"Faculty of Education, University of Alberta,",,"xvi, 385 pages :","0888649444, 9780888649447","11521666, 461752921, 465755874",,,,YES,,YES,,YES,YES,YES,YES,YES,,,YES,YES,,,MEMORIAL-103 TORONTO-689 CALGARY-178 UALBERTA-26 MANITOBA-46 MONTREAL-92 OTTAWA-45 OTTAWA-298 LAC-103 MCGILL-83,8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
24,albertaelderscreedictionaryalpertaohcikehtehayaknehiyawotwestamakewasinahik-lecl-1998,Alberta elders' Cree dictionary =,Alperta ohci kehtehayak nehiyaw otwestamâkewasinahikan /,"LeClaire, Nancy,",,1911-1986.,,1998,c1998.,,Edmonton :,,"University of Alberta Press,",,"xxv, 577 p.","0888642849, 0888643098, 9780888642844, 9780888643094","39070303, 797137459",,YES,YES,YES,YES,YES,,YES,YES,YES,,YES,YES,,YES,YES,YES,,ATHABASCA-107 BROCK-245 MEMORIAL-55 TORONTO-968 LAC-341 UBC-20 UBC-28 CALGARY-274 UALBERTA-366 CONCORDIA-100 MANITOBA-148 MCGILL-208 QUEENS-237 OTTAWA-330 CALGARY-303,14,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
26,albertaessayscalesmodels-nybe-1982,Alberta essay scales :,models /,"Nyberg, Verner R.",,,,1982,1982.,,"[Edmonton, Alta.] :",,"Faculty of Education, University of Alberta,",,"iii, 35 leaves","0888649495, 9780888649492",10868667,,,,YES,,YES,,,,,,,,,,YES,,,LAC-64 CALGARY-569 UALBERTA-18,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3
28,albertaformedalbertatransformed--2006,"Alberta formed, Alberta transformed /",,,,,,2006,2006.,,"Edmonton, Alta. :;Calgary, Alta. :",,"University of Alberta Press ;;University of Calgary Press,",,2 volumes :,"1552381943, 1552381951, 155238196X, 9781552381946, 9781552381953, 9781552381960",62535632,,,,YES,,YES,,YES,,YES,,YES,YES,,,YES,,,MEMORIAL-39 LAC-476 CALGARY-448 UALBERTA-536 MANITOBA-456 QUEENS-277 OTTAWA-515 CALGARY-702,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
30,albertanewspapers18801982anhistoricaldirectory-stra-1988,"Alberta newspapers, 1880-1982 :",an historical directory /,"Strathern, Gloria M.",(Gloria Margaret),,,1988,c1988.,,Edmonton :,,"University of Alberta Press,",,"xxxi, 568 p., 8 p. of plates :","0888641370, 0888641389, 9780888641373, 9780888641380","20630820, 465792042",,YES,,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,CALGARY-216 ATHABASCA-65 MEMORIAL-432 TORONTO-775 LAC-150 UBC-10 UALBERTA-222 CONCORDIA-74 MANITOBA-228 MCGILL-109 MONTREAL-93 QUEENS-423 REGINA-192 OTTAWA-441,13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
32,albertansbuiltaspectsofhousinginruralalbertato1920-denn-1986,Albertans built :,aspects of housing in rural Alberta to 1920 /,"Dennis, Thelma B.","(Thelma Bernice),",1929-,,1986,1986.,,Edmonton :,,"University of Alberta Printing Services,",,"viii, 90 pages :","0888648502, 9780888648501",20935211,86910024,,,YES,,YES,,YES,YES,YES,,,,,YES,YES,,,MEMORIAL-419 TORONTO-1154 LAC-155 CALGARY-583 UALBERTA-64 MANITOBA-37 MCGILL-111,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
33,albertaslocalgovernmentsandtheirpolitics-mass-1985,Alberta's local governments and their politics /,,"Masson, Jack K.",,,,1985,1985.,,Edmonton :,,"Pica Pica Press,",,"xiii, 397 p.","0888640943, 9780888640949","12822656, 490236917",,YES,YES,YES,,YES,YES,,YES,YES,,,YES,YES,YES,,YES,YES,CALGARY-514 ATHABASCA-28 BROCK-236 MEMORIAL-349 TORONTO-444 LAC-78 UBC-374 CALGARY-287 LAVAL-17 MCGILL-70 QUEENS-133 REGINA-12 WILFRIDLAURIER-17,12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
